
loan_id,approved,risk_level
L0001,False,Low
L0002,False,Medium
L0003,False,High
L0004,False,High
L0005,False,High
L0006,False,Medium
L0007,False,High
L0008,False,Low
L0009,False,High
L0010,True,Medium
L0011,False,Medium
L0012,True,Low
L0013,False,Medium
L0014,True,Medium
L0015,False,Medium
L0016,False,Low
L0017,False,High
L0018,False,Low
L0019,True,Medium
L0020,False,High
L0021,False,Medium
L0022,False,High
L0023,False,High
L0024,False,High
L0025,False,High
L0026,True,Low
L0027,False,Medium
L0028,True,Medium
L0029,True,Low
L0030,False,High
L0031,False,Medium
L0032,False,Low
L0033,False,High
L0034,False,Low
L0035,False,Medium
L0036,True,Medium
L0037,False,High
L0038,True,Medium
L0039,False,High
L0040,True,Low
L0041,False,High
L0042,False,Medium
L0043,True,Medium
L0044,False,Medium
L0045,True,Medium
L0046,True,Low
L0047,False,Low
L0048,True,Low
L0049,False,Medium
L0050,False,High
L0051,True,Low
L0052,True,Low
L0053,False,Low
L0054,True,Medium
L0055,False,High
L0056,False,High
L0057,False,Medium
L0058,True,Medium
L0059,False,High
L0060,False,Low
L0061,True,Medium
L0062,False,Medium
L0063,True,Low
L0064,False,Medium
L0065,False,High
L0066,False,High
L0067,False,Low
L0068,True,Low
L0069,True,Low
L0070,False,High
L0071,True,Low
L0072,True,Low
L0073,False,Medium
L0074,False,Medium
L0075,False,High
L0076,False,Medium
L0077,False,High
L0078,False,Low
L0079,False,High
L0080,False,High
L0081,False,Medium
L0082,False,Medium
L0083,True,Low
L0084,False,Medium
L0085,False,Medium
L0086,True,Low
L0087,True,Medium
L0088,False,Medium
L0089,True,Low
L0090,True,Low
L0091,True,Medium
L0092,False,Low
L0093,False,Low
L0094,False,Low
L0095,False,High
L0096,False,Medium
L0097,False,Medium
L0098,True,Low
L0099,False,High
L0100,True,Medium
L0101,False,Medium
L0102,False,High
L0103,False,High
L0104,True,Low
L0105,False,Low
L0106,False,High
L0107,False,High
L0108,False,High
L0109,True,Medium
L0110,True,Low
L0111,False,Low
L0112,False,Low
L0113,False,Low
L0114,False,High
L0115,False,High
L0116,False,High
