loan_id,user_id,amount,income,purpose,application_date,status,remarks
L0001,U0149,98237,25423,Business,2025-05-07,pending,Average Risk. Risk Score: 40%. Awaiting review.
L0002,U0071,92892,2090,Car,2025-02-28,declined,Auto-declined. Risk Score: 86%
L0003,U0138,43905,16059,Education,2025-06-21,declined,Auto-declined. Risk Score: 72%
L0004,U0194,36220,16705,Car,2025-02-16,approved,Auto-approved. Risk Score: 5%
L0005,U0183,34409,14485,Medical,2025-04-08,pending,Average Risk. Risk Score: 59%. Awaiting review.
L0006,U0091,78786,18413,Education,2025-04-11,pending,Average Risk. Risk Score: 41%. Awaiting review.
L0007,U0176,54081,18288,Medical,2025-02-02,approved,Auto-approved. Risk Score: 5%
L0008,U0122,46841,2313,Education,2025-05-29,approved,Auto-approved. Risk Score: 39%
L0009,U0023,66629,23425,Business,2025-03-10,declined,Auto-declined. Risk Score: 72%
L0010,U0055,69976,13542,Education,2025-01-07,approved,Auto-approved. Risk Score: 12%
L0011,U0151,24310,16102,Medical,2025-01-31,declined,Auto-declined. Risk Score: 62%
L0012,U0093,93604,4130,Education,2025-04-19,pending,Average Risk. Risk Score: 52%. Awaiting review.
L0013,U0070,24135,15374,Medical,2025-04-08,approved,Auto-approved. Risk Score: 39%
L0014,U0136,58323,12435,Home,2025-02-15,approved,Auto-approved. Risk Score: 18%
L0015,U0178,77067,8931,Medical,2025-06-11,declined,Auto-declined. Risk Score: 93%
L0016,U0075,44575,2172,Car,2025-05-11,declined,Auto-declined. Risk Score: 73%
L0017,U0047,75382,24072,Business,2025-02-12,pending,Average Risk. Risk Score: 42%. Awaiting review.
L0018,U0082,37374,22790,Business,2025-04-22,approved,Auto-approved. Risk Score: 35%
L0019,U0059,52923,28552,Car,2025-06-04,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0020,U0023,10763,3515,Business,2025-02-23,approved,Auto-approved. Risk Score: 23%
L0021,U0001,75341,19466,Business,2025-02-11,approved,Auto-approved. Risk Score: 22%
L0022,U0096,66308,10050,Home,2025-02-05,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0023,U0104,93953,9277,Home,2025-06-28,approved,Auto-approved. Risk Score: 26%
L0024,U0132,71492,17262,Home,2025-05-06,declined,Auto-declined. Risk Score: 92%
L0025,U0017,36566,23480,Car,2025-02-03,declined,Auto-declined. Risk Score: 99%
L0026,U0150,14043,5364,Business,2025-03-14,approved,Auto-approved. Risk Score: 34%
L0027,U0118,34811,9307,Medical,2025-05-31,declined,Auto-declined. Risk Score: 86%
L0028,U0104,5761,9412,Home,2025-02-07,approved,Auto-approved. Risk Score: 13%
L0029,U0056,44603,19414,Education,2025-01-01,pending,Average Risk. Risk Score: 49%. Awaiting review.
L0030,U0126,96711,29042,Car,2025-03-11,declined,Auto-declined. Risk Score: 73%
L0031,U0072,61192,12025,Business,2025-04-28,approved,Auto-approved. Risk Score: 13%
L0032,U0135,86706,21419,Education,2025-02-27,declined,Auto-declined. Risk Score: 94%
L0033,U0099,36718,16412,Home,2025-03-15,declined,Auto-declined. Risk Score: 64%
L0034,U0107,14537,24142,Education,2025-02-15,declined,Auto-declined. Risk Score: 63%
L0035,U0135,18085,21297,Medical,2025-05-07,declined,Auto-declined. Risk Score: 85%
L0036,U0087,57081,22268,Medical,2025-05-03,declined,Auto-declined. Risk Score: 95%
L0037,U0100,60232,17044,Education,2025-04-06,approved,Auto-approved. Risk Score: 33%
L0038,U0110,89591,2208,Home,2025-02-18,approved,Auto-approved. Risk Score: 19%
L0039,U0015,89256,8550,Business,2025-06-26,declined,Auto-declined. Risk Score: 76%
L0040,U0078,53484,11501,Home,2025-01-09,declined,Auto-declined. Risk Score: 71%
L0041,U0107,97070,28088,Education,2025-01-30,declined,Auto-declined. Risk Score: 65%
L0042,U0078,57503,26276,Home,2025-02-24,approved,Auto-approved. Risk Score: 16%
L0043,U0120,51393,27830,Home,2025-04-08,approved,Auto-approved. Risk Score: 31%
L0044,U0080,84581,9320,Medical,2025-01-28,declined,Auto-declined. Risk Score: 82%
L0045,U0019,43233,24834,Business,2025-01-09,approved,Auto-approved. Risk Score: 30%
L0046,U0077,19155,21239,Education,2025-02-20,pending,Average Risk. Risk Score: 50%. Awaiting review.
L0047,U0130,40308,21426,Home,2025-02-16,approved,Auto-approved. Risk Score: 20%
L0048,U0049,47327,2677,Medical,2025-02-27,declined,Auto-declined. Risk Score: 81%
L0049,U0067,99340,10310,Medical,2025-06-22,declined,Auto-declined. Risk Score: 63%
L0050,U0090,74033,16066,Car,2025-05-05,declined,Auto-declined. Risk Score: 63%
